"Scenarios","Before2005","After2005"
"GoingAheadT",5631,3923
"GoingAhead",5598,3983
"GoingAheadCrossroads",1718,1079
"EnteringRightT",981,406
"Footway",838,663
"GoingAheadPrivate",791,437
"EnteringRightTCar",774,396
"LeavingLeftTCar",751,503
"ChangingLane",623,293
"GoingAheadOtherJunction",620,419
"OvertakingCar",616,391
"ParkedCar",483,234
"ReversingCar",462,273
"LeavingLeftT",338,113
"LeavingRoundabout",306,19
"LeavingRightT",235,162
"LeavingRightTCar",233,285
"OvertakingTCar",204,164
"EnteringRightPrivate",178,47
"LeavingLeftCarPrivate",173,77
"EnteringRoundabout",167,75
"EnteringRightCarPrivate",165,58
"EnteringRightCar",128,76
"BikeCarLeavingRoundabout",124,27
"ChangingLaneCar",114,74
"DoorOpen",103,52
"EnteringRight",101,38
"Overtaking",98,56
"CarLeavingRoundabout",88,52
"LeavingLeftCar",88,73
"CarEnteringRoundabout",65,143
"ChangingLaneJunctionCar",61,34
"CarEnteringBikeLeavingRoundabout",44,34
"LeavingLeftPrivate",42,3
"LeavingRightPrivate",42,29
"OvertakingT",39,38
"LeavingRightCar",37,48
"LeavingLeft",34,18
"LeavingRightCarPrivate",30,52
"OvertakingCrossroadsCar",26,17
"LeavingRight",23,27
"BikeEnteringCarLeavingRoundabout",20,40
"BikeCarEnteringRoundabout",20,54
"Roundabout",19,76
"CycleLane",19,29
"ChangingLaneJunction",14,27
"EnteringLeftT",12,102
"Cycleway",12,22
"EnteringLeftTCar",12,114
"OvertakingPrivateCar",12,8
"OvertakingCrossroads",8,7
"EnteringLeftCarPrivate",7,42
"EnterCarriageway",6,11
"EnteringLeftPrivate",6,17
"OvertakingPrivate",3,1
"EnteringLeft",2,9
"EnteringLeftCar",2,11
"StoppedCar",0,0
